sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s22-110-11,u011,2025-06-09,16.32259228127964,7.59,0.9899999999999999,0.5350003314911589,0,1.25,variable,0.5350003314911589
s22-110-15,u015,2025-06-09,25.69521842075794,0.0,0.0,1.0,0,2.5,variable,0.4092286062166024
s22-110-35,u035,2025-06-09,19.397399155029834,19.397399155029834,2.5300955419604123,0.0,0,4.0,regular,0.0
s22-110-4,u004,2025-06-09,19.617246155040807,19.617246155040807,2.5587712376140175,0.0,0,3.75,regular,0.0
s22-110-21,u021,2025-06-09,8.91325162535544,8.91325162535544,1.1625980380898397,0.0,0,5.5,regular,0.0
s22-110-31,u031,2025-06-09,11.797703303994235,11.797703303994235,1.5388308657383782,0.0,0,4.0,variable,0.0
s22-110-24,u024,2025-06-09,9.33359726945909,9.33359726945909,1.2174257307990117,0.0,0,4.5,regular,0.0
s22-110-43,u043,2025-06-09,27.32227000444955,27.32227000444955,3.5637743484064615,0.0,0,4.5,regular,0.0
s22-110-23,u023,2025-06-09,21.487731635565787,21.487731635565787,2.802747604639015,0.0,0,4.25,regular,0.0
s22-110-38,u038,2025-06-09,15.42394627275764,15.42394627275764,2.0118190790553436,0.0,0,6.25,regular,0.0
s22-110-50,u050,2025-06-09,20.292717442307833,20.292717442307833,2.646876188127108,0.0,0,5.25,variable,0.0
s22-110-32,u032,2025-06-09,17.099732606908105,11.838973990332047,1.5442139987389623,0.30765151347751307,0,4.5,regular,0.0
s22-110-29,u029,2025-06-09,26.66672631314946,26.66672631314946,3.478268649541232,0.0,0,6.0,regular,0.0
s22-110-40,u040,2025-06-09,11.926380090376677,11.926380090376668,1.5556147943969563,7.771561172376096e-16,0,5.5,regular,0.0
s22-110-33,u033,2025-06-09,24.402486383498243,24.402486383498243,3.1829330065432484,0.0,0,5.25,variable,0.0
s22-110-3,u003,2025-06-09,11.3212205621122,11.3212205621122,1.4766809428842,0.0,0,5.5,regular,0.0
s22-110-39,u039,2025-06-09,18.60844487133052,18.60844487133052,3.021188461477893,0.0,0,6.25,variable,0.0
s22-110-54,u054,2025-06-09,24.326907319761425,21.479700000000005,3.3956999999999997,0.11703942808416734,0,5.5,new,0.0
s22-110-57,u057,2025-06-09,29.421512240003302,29.421512240003302,4.39001469555039,0.0,0,6.75,new,0.0
s22-110-2,u002,2025-06-09,28.021196721460555,22.770000000000007,3.861,0.18740087276282602,0,5.25,regular,0.0
s22-110-28,u028,2025-06-09,16.292437638216477,16.292437638216477,2.7191005615064965,0.0,0,5.5,regular,0.0
s22-110-41,u041,2025-06-09,24.86448746560077,24.86448746560077,3.2431940172522733,0.0,0,7.25,variable,0.0
s22-110-9,u009,2025-06-09,17.966709884140798,15.18,3.4649999999999994,0.1551040731503448,0,5.0,variable,0.0
s22-110-14,u014,2025-06-09,21.9675817515204,21.967581751520395,4.350336750198312,1.1102230246251565e-16,0,7.0,variable,0.0
s22-110-52,u052,2025-06-09,13.472048850288289,13.472048850288283,3.24222376308108,4.440892098500626e-16,0,7.0,variable,0.0
s22-111-41,u041,2025-06-10,22.11665438084252,7.59,0.9899999999999999,0.6568197038619698,0,1.25,variable,0.6568197038619696
s22-111-12,u012,2025-06-10,15.644503597904254,15.644503597904254,2.0405874258135976,0.0,0,4.25,variable,0.0
s22-111-59,u059,2025-06-10,11.164113872229716,11.164113872229716,1.4561887659430062,0.0,0,5.0,new,0.0
s22-111-10,u010,2025-06-10,19.92510116035775,19.92510116035775,2.598926238307532,0.0,0,5.25,regular,0.0
s22-111-27,u027,2025-06-10,20.29813983252123,20.29813983252123,2.647583456415812,0.0,0,5.5,regular,0.0
s22-111-9,u009,2025-06-10,21.722340648382357,12.614340648382353,1.6453487802237845,0.41929183173353235,0,4.0,variable,0.0
s22-111-30,u030,2025-06-10,19.487225243725785,19.487225243725785,2.541811988312058,0.0,0,4.75,regular,0.0
s22-111-38,u038,2025-06-10,18.06799914166277,18.06799914166277,2.3566955402168825,0.0,0,5.75,regular,0.0
s22-111-28,u028,2025-06-10,18.309986779845794,18.309986779845794,2.3882591451972766,0.0,0,5.5,regular,0.0
s22-111-33,u033,2025-06-10,21.91615526472801,19.961700000000004,2.6036999999999995,0.08917874696176831,0,4.25,variable,0.0
s22-111-20,u020,2025-06-10,21.65069804912466,20.464244501735315,2.66924928283504,0.05479978265353491,0,5.5,variable,0.0
s22-111-35,u035,2025-06-10,15.216671567864793,15.216671567864793,1.9847832479823637,0.0,0,4.75,regular,0.0
s22-111-2,u002,2025-06-10,27.886560590334835,24.850560590334833,3.538377468304542,0.1088696467305561,0,5.0,regular,0.0
s22-111-25,u025,2025-06-10,23.129691943811725,23.129691943811725,3.0169163404971804,0.0,0,5.0,regular,0.0
s22-111-43,u043,2025-06-10,24.206860335916716,24.206860335916716,3.157416565554353,0.0,0,5.0,regular,0.0
s22-111-8,u008,2025-06-10,25.363135232377477,13.219135232377472,2.0212350303101045,0.4788051590915898,0,4.75,variable,0.0
s22-111-15,u015,2025-06-10,21.921031351836138,18.216000000000005,2.9699999999999998,0.16901720053084068,0,6.0,variable,0.0
s22-111-57,u057,2025-06-10,28.601890964177922,22.529890964177916,3.5326814301101623,0.21229365595459426,0,5.5,new,0.0
