sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s33-110-7,u007,2025-06-09,16.362833091336118,11.441042715864134,1.492309919460539,0.3007908439815352,0,3.0,variable,0.0
s33-110-24,u024,2025-06-09,8.391802258535277,8.391802258535277,1.0945829032872099,0.0,0,5.75,regular,0.0
s33-110-58,u058,2025-06-09,13.954807693327771,3.3288076933277684,0.43419230782536106,0.7614580031139107,0,4.25,new,0.0
s33-110-6,u006,2025-06-09,19.35159535324849,19.35159535324849,2.524121133032411,0.0,0,4.75,variable,0.0
s33-110-0,u000,2025-06-09,28.351488024701258,28.351488024701258,3.698020177134945,0.0,0,5.25,regular,0.0
s33-110-17,u017,2025-06-09,22.2619715045596,22.2619715045596,2.903735413638208,0.0,0,6.5,regular,0.0
s33-110-34,u034,2025-06-09,10.85935851238035,10.85935851238035,1.4164380668322192,0.0,0,5.75,variable,0.0
s33-110-35,u035,2025-06-09,20.25794529492751,20.25794529492751,2.6423406906427176,0.0,0,5.75,regular,0.0
s33-110-40,u040,2025-06-09,21.587396646649292,21.587396646649292,2.8157473886933855,0.0,0,6.5,regular,0.0
s33-110-43,u043,2025-06-09,23.27693322220459,11.699234835896029,1.8229871525081773,0.49738933715134925,0,4.75,variable,0.0
s33-110-14,u014,2025-06-09,18.868731064118627,18.868731064118627,2.461138834450255,0.0,0,6.0,regular,0.0
s33-110-15,u015,2025-06-09,13.317361840946734,13.317361840946734,1.7370471966452259,0.0,0,6.5,variable,0.0
s33-110-18,u018,2025-06-09,24.401845747716127,15.293845747716123,2.5888494453542763,0.37325045384538014,0,6.0,variable,0.0
s33-110-32,u032,2025-06-09,28.122423999652035,28.122423999652035,3.668142260824177,0.0,0,5.5,regular,0.0
s33-110-8,u008,2025-06-09,18.668553145265264,18.668553145265264,2.4350286711215556,0.0,0,5.75,regular,0.0
s33-110-51,u051,2025-06-09,10.325707328196449,10.325707328196449,1.3468313906343194,0.0,0,6.5,regular,0.0
s33-110-41,u041,2025-06-09,14.018505893608573,14.018505893608573,1.8285007687315527,0.0,0,6.75,regular,0.0
s33-110-53,u053,2025-06-09,22.425521142650254,22.425521142650254,3.8572399081519815,0.0,0,6.75,regular,0.0
s33-110-47,u047,2025-06-09,17.839572520724193,17.839572520724193,2.3269007635727204,0.0,0,7.25,regular,0.0
s33-110-49,u049,2025-06-09,26.309694721459813,21.75569472145981,5.213699311494757,0.17309208822881084,0,6.75,variable,0.0
s33-110-21,u021,2025-06-09,19.513579948619316,19.513579948619316,4.921249558515562,0.0,0,7.75,regular,0.0
s33-110-20,u020,2025-06-09,23.086803567262965,23.086803567262965,5.819786706722498,0.0,0,7.25,variable,0.0
s33-110-22,u022,2025-06-09,25.34853552639449,25.34853552639449,5.682330720834061,0.0,0,7.75,regular,0.0
s33-110-38,u038,2025-06-09,23.43180081085242,23.43180081085242,6.1558046122344825,0.0,0,6.5,regular,0.0
s33-110-55,u055,2025-06-09,30.81149494037015,30.81149494037015,7.582890644396106,0.0,0,8.5,new,0.0
s33-110-23,u023,2025-06-09,14.594134220119463,14.594134220119463,1.9035827243634076,0.0,0,10.0,variable,0.0
s33-110-44,u044,2025-06-09,23.993776103023748,23.993776103023748,7.230057424899046,0.0,0,10.5,variable,0.0
s33-111-6,u006,2025-06-10,20.373257769221382,12.144000000000002,1.5839999999999999,0.4039244907436266,0,2.0,variable,0.4039244907436267
s33-111-7,u007,2025-06-10,15.229526360038145,15.229526360038145,1.9864599600049748,0.0,0,2.75,variable,0.0
s33-111-26,u026,2025-06-10,22.21166291046569,0.0,0.0,1.0,0,3.5,variable,0.04320536082030657
s33-111-14,u014,2025-06-10,20.21151329557647,20.21151329557647,2.636284342901278,0.0,0,5.5,regular,0.0
s33-111-5,u005,2025-06-10,15.292365423912882,1.6303654239128786,0.21265635964081023,0.8933869693328507,0,5.0,variable,0.0
s33-111-0,u000,2025-06-10,22.68428322522786,22.68428322522786,2.9588195511166755,0.0,0,5.25,regular,0.0
s33-111-24,u024,2025-06-10,14.697064631140965,14.697064631140965,1.9170084301488208,0.0,0,6.5,regular,0.0
s33-111-41,u041,2025-06-10,16.785172141734694,16.785172141734694,2.1893702793566985,0.0,0,6.25,regular,0.0
s33-111-42,u042,2025-06-10,19.555257769506536,19.555257769506536,2.5506857960225915,0.0,0,6.0,variable,0.0
