sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s22-110-11,u011,2025-06-09,16.32259228127964,4.945976822678435,0.6451274116537087,0.6969858256919785,0,2.75,variable,0.0
s22-110-15,u015,2025-06-09,25.69521842075794,6.615211198324074,0.8628536345640095,0.7425508867058331,0,4.0,variable,0.0547657699465639
s22-110-35,u035,2025-06-09,19.397399155029834,11.73882262689543,1.5311507774211435,0.3948249178626868,0,5.5,regular,0.0
s22-110-4,u004,2025-06-09,19.617246155040807,9.406938247211606,1.2269919452884703,0.5204761069486596,0,5.25,regular,0.0
s22-110-21,u021,2025-06-09,8.91325162535544,8.91325162535544,1.1625980380898397,0.0,0,7.0,regular,0.0
s22-110-31,u031,2025-06-09,11.797703303994235,9.504764913878212,1.2397519452884624,0.19435464098675248,0,5.5,variable,0.0
s22-110-24,u024,2025-06-09,9.33359726945909,9.33359726945909,1.2174257307990115,0.0,0,6.0,regular,0.0
s22-110-43,u043,2025-06-09,27.32227000444955,10.90311079623109,1.4221448864649249,0.6009441823664186,0,6.0,regular,0.0
s22-110-23,u023,2025-06-09,21.487731635565787,9.870746116409563,1.5028136238794982,0.5406334049671475,0,5.75,regular,0.0
s22-110-38,u038,2025-06-09,15.42394627275764,15.42394627275764,2.011819079055345,0.0,0,7.75,regular,0.0
s22-110-50,u050,2025-06-09,20.292717442307833,13.261432224802459,1.9450770293220503,0.3464930331531648,0,6.75,variable,0.0
s22-110-32,u032,2025-06-09,17.099732606908105,10.613212709167598,1.8525847954310262,0.3793345806542041,0,6.0,regular,0.0
s22-110-29,u029,2025-06-09,26.66672631314946,15.290209467292756,2.6066348257862773,0.4266184274838004,0,7.5,regular,0.0
s22-110-40,u040,2025-06-09,11.926380090376677,11.926380090376677,1.9280796562950024,0.0,0,7.0,regular,0.0
s22-110-33,u033,2025-06-09,24.402486383498243,13.110128358899837,2.666796420343713,0.4627544032658355,0,6.75,variable,0.0
s22-110-3,u003,2025-06-09,11.3212205621122,11.3212205621122,2.0834569213912224,0.0,0,7.0,regular,0.0
s22-110-39,u039,2025-06-09,18.60844487133052,15.891144705387937,3.220937682929109,0.14602510767189614,0,7.75,variable,0.0
s22-110-54,u054,2025-06-09,24.326907319761425,14.088395025566463,2.9857964203436995,0.420871924228442,0,7.0,new,0.0
