sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s22-110-11,u011,2025-06-09,16.32259228127964,16.32259228127964,2.129033775819083,0.0,0,2.75,variable,0.0
s22-110-15,u015,2025-06-09,25.69521842075794,4.4432184207579315,0.5795502287945128,0.8270799512967569,0,4.0,variable,0.0547657699465639
s22-110-35,u035,2025-06-09,19.397399155029834,19.397399155029834,2.5300955419604123,0.0,0,5.5,regular,0.0
s22-110-4,u004,2025-06-09,19.617246155040807,19.617246155040807,2.5587712376140175,0.0,0,5.25,regular,0.0
s22-110-21,u021,2025-06-09,8.91325162535544,8.91325162535544,1.1625980380898397,0.0,0,7.0,regular,0.0
s22-110-31,u031,2025-06-09,11.797703303994235,11.797703303994235,1.538830865738378,0.0,0,5.5,variable,0.0
s22-110-24,u024,2025-06-09,9.33359726945909,9.33359726945909,1.2174257307990117,0.0,0,6.0,regular,0.0
s22-110-43,u043,2025-06-09,27.32227000444955,27.32227000444955,3.5637743484064615,0.0,0,6.0,regular,0.0
s22-110-23,u023,2025-06-09,21.487731635565787,21.487731635565787,2.8027476046390145,0.0,0,5.75,regular,0.0
s22-110-38,u038,2025-06-09,15.42394627275764,15.42394627275764,2.0118190790553436,0.0,0,7.75,regular,0.0
s22-110-50,u050,2025-06-09,20.292717442307833,20.292717442307833,2.6468761881271083,0.0,0,6.75,variable,0.0
s22-110-32,u032,2025-06-09,17.099732606908105,17.099732606908105,3.1213999052488828,0.0,0,6.0,regular,0.0
s22-110-29,u029,2025-06-09,26.66672631314946,26.66672631314946,3.4782686495412327,0.0,0,7.5,regular,0.0
s22-110-40,u040,2025-06-09,11.926380090376677,11.926380090376677,1.5556147943969574,0.0,0,7.0,regular,0.0
s22-110-33,u033,2025-06-09,24.402486383498243,24.402486383498243,3.1829330065432475,0.0,0,6.75,variable,0.0
s22-110-3,u003,2025-06-09,11.3212205621122,11.3212205621122,1.4766809428842,0.0,0,7.0,regular,0.0
s22-110-39,u039,2025-06-09,18.60844487133052,18.60844487133052,3.615188461477893,0.0,0,7.75,variable,0.0
s22-110-54,u054,2025-06-09,24.326907319761425,24.326907319761425,4.6580748677949675,0.0,0,7.0,new,0.0
s22-110-57,u057,2025-06-09,29.421512240003302,29.421512240003302,4.584575381153252,0.0,0,8.25,new,0.0
s22-110-2,u002,2025-06-09,28.021196721460555,28.021196721460555,5.733938702799202,0.0,0,6.75,regular,0.0
s22-110-28,u028,2025-06-09,16.292437638216477,16.292437638216477,3.3131005615064963,0.0,0,7.0,regular,0.0
s22-110-41,u041,2025-06-09,24.86448746560077,24.86448746560077,3.2431940172522733,0.0,0,8.75,variable,0.0
s22-110-9,u009,2025-06-09,17.966709884140798,17.966709884140798,4.1254838979314075,0.0,0,6.5,variable,0.0
s22-110-14,u014,2025-06-09,21.9675817515204,21.9675817515204,4.944336750198312,0.0,0,8.5,variable,0.0
s22-110-52,u052,2025-06-09,13.472048850288289,13.472048850288289,3.141514146951857,0.0,0,8.5,variable,0.0
s22-111-41,u041,2025-06-10,22.11665438084252,16.698000000000004,2.178,0.2450033484963332,0,2.75,variable,0.24500334849633343
s22-111-12,u012,2025-06-10,15.644503597904254,15.644503597904254,2.040587425813598,0.0,0,5.75,variable,0.0
s22-111-59,u059,2025-06-10,11.164113872229716,11.164113872229716,1.4561887659430062,0.0,0,6.5,new,0.0
s22-111-10,u010,2025-06-10,19.92510116035775,19.92510116035775,2.598926238307532,0.0,0,6.75,regular,0.0
s22-111-27,u027,2025-06-10,20.29813983252123,20.29813983252123,2.647583456415812,0.0,0,7.0,regular,0.0
s22-111-9,u009,2025-06-10,21.722340648382357,20.204340648382356,3.229348780223785,0.06988197195558876,0,5.5,variable,0.0
s22-111-30,u030,2025-06-10,19.487225243725785,19.487225243725785,2.541811988312058,0.0,0,6.25,regular,0.0
s22-111-38,u038,2025-06-10,18.06799914166277,18.06799914166277,2.356695540216883,0.0,0,7.25,regular,0.0
s22-111-28,u028,2025-06-10,18.309986779845794,18.309986779845794,2.3882591451972766,0.0,0,7.0,regular,0.0
s22-111-33,u033,2025-06-10,21.91615526472801,21.91615526472801,3.452628947573217,0.0,0,5.75,variable,0.0
s22-111-20,u020,2025-06-10,21.65069804912466,21.65069804912466,3.4180040933640843,0.0,0,7.0,variable,0.0
s22-111-35,u035,2025-06-10,15.216671567864793,15.216671567864793,1.9847832479823637,0.0,0,6.25,regular,0.0
s22-111-2,u002,2025-06-10,27.886560590334835,27.886560590334835,4.825377468304542,0.0,0,6.5,regular,0.0
s22-111-25,u025,2025-06-10,23.129691943811725,23.129691943811725,3.0169163404971804,0.0,0,6.5,regular,0.0
s22-111-43,u043,2025-06-10,24.206860335916716,24.206860335916716,3.2465165655543524,0.0,0,6.5,regular,0.0
s22-111-8,u008,2025-06-10,25.363135232377477,20.809135232377475,4.793235030310105,0.17955193465934616,0,6.25,variable,0.0
s22-111-15,u015,2025-06-10,21.921031351836138,21.921031351836138,3.7502649589351478,0.0,0,7.5,variable,0.0
s22-111-57,u057,2025-06-10,28.601890964177922,28.601890964177922,5.556447565214619,0.0,0,7.0,new,0.0
s22-111-18,u018,2025-06-10,14.451446960180217,14.451446960180217,2.4789713426322013,0.0,0,8.0,variable,0.0
s22-111-37,u037,2025-06-10,19.584190078141344,19.584190078141344,3.44545957540974,0.0,0,7.0,regular,0.0
s22-111-49,u049,2025-06-10,9.765349828558442,9.765349828558442,1.2737412819858835,0.0,0,8.0,regular,0.0
s22-111-34,u034,2025-06-10,11.163401135740871,11.163401135740871,2.6440958003140262,0.0,0,8.25,variable,0.0
s22-112-9,u009,2025-06-11,20.443406392225484,13.662000000000003,1.7819999999999998,0.3317160683556344,0,2.25,variable,0.3317160683556345
s22-112-18,u018,2025-06-11,19.374380677010663,7.419832922333147,0.967804294217367,0.6170286397264092,0,4.25,variable,0.0
s22-112-16,u016,2025-06-11,31.497609621361278,11.763609621361272,1.5343838636558176,0.6265237342524131,0,4.25,variable,0.18069973213145984
s22-112-54,u054,2025-06-11,21.554227380134147,21.554227380134147,2.811420962626192,0.0,0,6.25,new,0.0
s22-112-28,u028,2025-06-11,16.148149600680316,16.148149600680316,2.106280382697432,0.0,0,7.0,regular,0.0
s22-112-55,u055,2025-06-11,18.27296820422378,18.27296820422378,2.3834306353335357,0.0,0,6.75,new,0.0
s22-112-58,u058,2025-06-11,17.02222732815173,17.02222732815173,2.2202905210632684,0.0,0,6.0,new,0.0
s22-112-6,u006,2025-06-11,18.60216252893643,14.699244089635727,3.10529270734379,0.2098099311426589,0,5.25,variable,0.0
s22-112-24,u024,2025-06-11,17.010136789166893,17.010136789166893,2.2187134942391595,0.0,0,5.75,regular,0.0
s22-112-32,u032,2025-06-11,18.124449071826984,18.124449071826984,2.3640585745861276,0.0,0,6.0,regular,0.0
s22-112-15,u015,2025-06-11,27.284882991512266,21.212882991512263,4.548897781501599,0.22254081140420756,0,5.75,variable,0.0
s22-112-57,u057,2025-06-11,29.953736025203654,28.435736025203653,5.788009046765693,0.050678152425551404,0,7.25,new,0.0
s22-112-45,u045,2025-06-11,18.715132488543315,18.715132488543315,2.441104237636084,0.0,0,7.5,regular,0.0
s22-112-12,u012,2025-06-11,14.703201105095228,14.703201105095228,1.9178088397950293,0.0,0,7.75,variable,0.0
s22-112-3,u003,2025-06-11,10.667472895336983,10.667472895336983,1.3914095080874322,0.0,0,7.0,regular,0.0
s22-112-21,u021,2025-06-11,17.370481926935565,17.370481926935565,4.040676645885977,0.0,0,6.25,regular,0.0
s22-112-25,u025,2025-06-11,27.14742989596889,27.14742989596889,3.803422792163766,0.0,0,6.75,regular,0.0
s22-112-30,u030,2025-06-11,18.705154551899096,18.705154551899096,2.812911244802319,0.0,0,6.25,regular,0.0
s22-112-22,u022,2025-06-11,29.81058984466388,29.81058984466388,5.967337805825722,0.0,0,7.5,variable,0.0
s22-112-40,u040,2025-06-11,13.608507738062665,13.608507738062665,1.7750227484429557,0.0,0,9.25,regular,0.0
s22-112-39,u039,2025-06-11,18.479673983428714,18.479673983428714,4.540980646770231,0.0,0,8.0,variable,0.0
s22-112-31,u031,2025-06-11,12.453828837471345,12.453828837471345,1.6244124570614793,0.0,0,9.25,variable,0.0
s22-112-33,u033,2025-06-11,28.038958341120427,28.038958341120427,5.7362554357983155,0.0,0,8.25,variable,0.0
s22-112-49,u049,2025-06-11,13.678165363584162,13.678165363584162,3.5661085256848906,0.0,0,8.0,regular,0.0
